molecule,atom,nombre,Hyd,Mol,Pol,Gas,Ab-R2,Ab-pi2H,Ab-sumA2H,Ab-sumB2H,Ab-sumB20,total
CHEMBL376085,1,O,0.004856783939979524,-3.4084075568250965e-05,-0.009416940544402952,-0.39545719395935974,1.1935180641964103,-1.1474894749360616,0.25926523200742935,0.4232845420575273,-0.6316141820699078,-0.0293411770348756
CHEMBL376085,2,C,-0.28344183261847433,-0.0007173477972043211,-0.06585987667920767,-1.5139008849108726,5.4435581775855635,-4.934192129008515,0.1129770333505295,1.2070184545003066,0.0,0.23918767077120506
CHEMBL376085,3,C,-0.1099442497389473,-0.0003850819226476853,-0.0401435645727477,-1.0722077817673255,3.8287971544980723,-3.506145612139829,0.0,0.8197005173440682,-0.024370965224562363,0.16904649282515963
CHEMBL376085,4,C,-0.0764471005967033,-0.0003454884420545827,-0.03484539960670274,-1.1534226498253695,4.13457680371773,-3.7886525657322285,0.0,0.9049578190231176,-0.024370965224562363,0.23519652966230467
CHEMBL376085,5,C,-0.08899013972995246,-0.0005429977427916171,-0.060704977254965264,-1.89360425187629,6.918791861306205,-6.266560716228593,0.0,1.4860049569800327,0.0,0.36813981180272304
CHEMBL376085,6,C,0.022515259405451824,-0.00010935792361671584,-0.023909826024933856,-0.8885642491265211,3.2068861544851877,-2.9535523025380632,0.0,0.6821818960353395,0.0,0.31919365066192207
CHEMBL376085,7,C,0.11443646531404646,-8.363542322839646e-05,-0.018546877092825945,-0.6572610265164109,2.3647326145218717,-2.1858249604023468,0.040363801970539084,0.5832655623211802,0.0,0.514828021041904
CHEMBL376085,8,N,0.16074332949098175,-0.00023606864251508373,-0.03131242854773815,-0.9804295677160402,3.784008089680949,-3.4859956308754168,0.16297433993311955,1.102717664288614,-0.7544844650770763,0.2317313388839558
CHEMBL376085,9,C,-0.1399491590379215,-0.0008458968433229085,-0.09483237553318752,-1.9631051508948936,7.920733461646437,-7.0790879731749055,0.040363801970539084,1.6369033615653639,0.07717472321111414,0.6711008692583023
CHEMBL376085,10,N,0.058300053733205154,-0.00015764519866233437,-0.02902863727118199,-1.1723345836949037,4.217150162100539,-4.073298123023098,0.0,1.1731575946731385,-0.4559401410761875,-0.008405243408072471
CHEMBL376085,11,C,-0.03684536920950291,-0.0003591974596637306,-0.04011311608499435,-1.3256820984879027,4.604560429358452,-4.350532446818567,0.014304182399353414,1.178478967232932,-0.024370965224562363,0.2931864620546225
CHEMBL376085,12,C,-0.09532477352653573,-0.0016438172516314207,-0.06203287546403735,-2.939862024638633,10.30378168020533,-9.526984243998294,0.10019688640759584,2.3793070073386446,0.0,0.431183915421514
CHEMBL376085,13,C,0.20223623071652286,-0.0037862001906504403,-0.03990301720201922,-1.6461679771417237,5.637207329027497,-5.500109639797264,0.15595719016071166,1.3414087793300684,0.19767560682145024,0.6182643780736706
CHEMBL376085,14,O,0.004195230801985021,-0.00011229022831304707,-0.0061466290037872455,-0.32972314036338046,1.1538013991239024,-1.3190051690479487,0.023565181371744418,0.36819486846906635,-0.4207376357518197,-0.25222210827947267
CHEMBL376085,15,N,0.27724415102035477,-0.00026892077310320945,-0.008851461162612151,-0.33573429139190547,1.1814681633680166,-1.2238899110502086,0.11965403742224874,0.4792917110233543,-0.7893484847733253,-0.026688929968101904
CHEMBL376085,16,C,-0.17773512639263822,-0.0013577000774866739,-0.04264386937708198,-2.7645310708558197,10.151035045439798,-9.29270309919621,0.0449931555470571,2.404013331552849,0.03858736160555707,0.6334041045951023
CHEMBL376085,17,N,0.10607322147222005,-0.0004883077467879118,-0.015312249618638363,-1.5104798709541187,5.4457973114569,-5.014474135144914,0.12342356956285948,1.5628750384759849,-0.7230053016620166,0.24815535219056728
CHEMBL376085,18,C,-0.2191526218123223,-0.0013281712535759167,-0.03916277437992122,-2.0634866676387187,7.630166358749522,-6.970569315790296,0.030688973147703687,1.7033767118794305,0.0,0.3442785692509014
CHEMBL376085,19,C,-0.10322345798070456,-0.00046874645766446587,-0.037119504055670216,-1.0765216631957646,3.878123919304248,-3.5946588156805452,0.0,0.8453632064113311,-0.024370965224562363,0.16087004946974617
CHEMBL376085,20,C,-0.07826286462918697,-0.0002967606229586855,-0.042855845559523376,-0.8307648735729238,2.9521505129877834,-2.7430396970861626,0.0,0.664394558156751,-0.024370965224562363,0.170700140798295
CHEMBL376085,21,C,-0.0764471005967033,-0.0003310873472192294,-0.04351242102844133,-0.9812518228554552,3.51616302755417,-3.2363720980217434,0.0,0.7835032578290775,-0.024370965224562363,0.21112686665820182
CHEMBL376085,22,C,-0.10017393158975683,-0.0005378862928459966,-0.056373725011776954,-1.5569273970687254,5.689050404356939,-5.171300529026468,0.0,1.2289635706104234,0.0,0.3064465823268666
CHEMBL376085,23,C,-0.02511208062557616,-6.507455563977209e-05,-0.012432700659510701,-0.33370017194670354,1.2069846706672807,-1.1177462634941597,0.0,0.26756989761743455,0.0,0.25924435335220425
CHEMBL376085,24,C,-0.1014076939482209,-0.0005324465653808019,-0.02367841546513083,-1.3838407298504052,5.004789561157221,-4.613199454325864,0.0,1.0864473767051634,-0.024370965224562363,0.21795330883189892
CHEMBL376085,25,N,0.03333946038168755,-0.0002547907377157151,-0.025006808906256006,-1.5719390142177394,5.8375704273659625,-5.581286706022326,0.0,1.4570596553060313,-0.4173527794706305,0.00587552004809172
