       mol;    enlace;       Std;       Dip;      Dip2;       Hyd;      Pols;       Mol;       Pol;       Van;       Gas;       Ato;        r2;      pi2h;       b2h;       b2o;       l16
      68.0;       2.0;       0.0;       0.4;      0.45;   -0.3806;     6.015;    2.3305;    1.0125;      1.65; -0.147748;    13.009;     0.069;    0.1325;    0.2705;    0.2715;    0.5335
      68.0;       3.0;      1.45;      0.68;       0.0;  0.019533;       0.0;  2.413667;    1.1625;  1.416667; -0.001277; 10.009167;      0.06;  0.033667;       0.0;       0.0;    0.4575
      68.0;       4.0;       1.4;       0.0;       0.0;  0.124383;       0.0;  2.844667;      1.58;  1.416667; -0.039914; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      68.0;       5.0;       1.4;       0.0;       0.0;  0.124383;       0.0;  2.844667;      1.58;  1.416667; -0.039914; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      68.0;       6.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7;  -0.05472;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
      68.0;       7.0;       1.4;       0.0;       0.0;  0.169483;       0.0;  2.976333;      1.58;  1.416667; -0.024954; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      68.0;       8.0;      1.46;       0.0;       0.0;  0.180867;       0.0;  2.602667;     1.264;  1.133333;  0.039259;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
      68.0;       9.0;       1.4;       0.0;       0.0;  0.169483;       0.0;  2.976333;      1.58;  1.416667; -0.024954; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      68.0;      10.0;       1.4;       0.0;       0.0;  0.169483;       0.0;  2.976333;      1.58;  1.416667;  0.045894; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      68.0;      11.0;      1.34;       0.0;       1.4; -0.071517;     6.445;  2.402333;     1.147;  1.366667;  -0.00152; 11.007167;     0.083;  0.145167;    0.1605;      0.15;     0.495
      68.0;      12.0;       1.4;       0.0;       0.0;  0.169483;       0.0;  2.976333;      1.58;  1.416667;  0.070918; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      68.0;      13.0;      1.46;       0.0;       0.0;  0.180867;       0.0;  2.602667;     1.264;  1.133333;  0.113454;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
      68.0;      14.0;       0.0;       0.0;       2.4;  0.168033;      6.57;  1.841333;     0.769;  1.341667; -0.113868; 12.003167;   -0.0025;  0.033667;    0.0235;      0.03;    0.2365
      68.0;      15.0;      1.34;       0.0;       1.4; -0.071517;     6.445;  2.402333;     1.147;  1.366667; -0.069014; 11.007167;     0.083;  0.145167;    0.1605;      0.15;     0.495
      68.0;      16.0;       1.4;       0.0;       0.0;    0.2444;       0.0;     2.657;     1.264;  1.133333;  0.101369;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
      68.0;      17.0;      1.34;       0.0;       1.4; -0.071517;     6.445;  2.402333;     1.147;  1.366667; -0.089561; 11.007167;     0.083;  0.145167;    0.1605;      0.15;     0.495
      68.0;      18.0;      1.46;       0.0;       0.0;  0.180867;       0.0;  2.602667;     1.264;  1.133333;  0.030453;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
      68.0;      19.0;       1.4;       0.0;       0.0;  0.169483;       0.0;  2.976333;      1.58;  1.416667;  0.057686; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      68.0;      20.0;       1.4;       0.0;       0.0;  0.169483;       0.0;  2.976333;      1.58;  1.416667; -0.025131; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      68.0;      21.0;       1.4;       0.0;       0.0;  0.169483;       0.0;  2.976333;      1.58;  1.416667; -0.025131; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      68.0;      22.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7;  -0.04715;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
      68.0;      23.0;       1.4;       0.0;       0.0;   0.14215;       0.0;     2.566;      1.58;  1.416667;  0.000962; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      68.0;      24.0;       0.0;      2.95;       0.8;    0.0625;     2.095;   2.73225;     1.382;  1.016667;  0.067427; 12.020417;     0.151;  0.188167;   0.01775;   0.01725;    0.4465
      68.0;      25.0;       1.4;       0.0;       0.0;   0.14215;       0.0;     2.566;      1.58;  1.416667;  0.000962; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      68.0;      26.0;       0.0;       0.0;       0.0;   -0.3345;    19.165;   2.61865;     1.319;       2.0; -0.178387;  24.01575;      0.05;    0.5245;   0.35175;   0.35625;    0.7335
      68.0;      27.0;       0.0;       0.0;       0.0;   -0.3345;    19.165;   2.61865;     1.319;       2.0; -0.178387;  24.01575;      0.05;    0.5245;   0.35175;   0.35625;    0.7335
      68.0;      28.0;       0.0;      2.95;       0.8; -0.068967;     2.095;  2.751583;  1.103667;  1.016667;  0.065134; 12.020417;  0.120667;    0.1665;  0.021417;  0.023917;  0.388167
      68.0;      29.0;       0.0;       0.0;       0.0;  0.075733;       0.0;  3.413333;  1.414667;  2.266667; -0.028181; 16.014667; -0.074333;    -0.063;  0.010667;  0.006667;  0.470667
      68.0;      30.0;       0.0;       0.0;       0.0;  0.075733;       0.0;  3.413333;  1.414667;  2.266667; -0.028181; 16.014667; -0.074333;    -0.063;  0.010667;  0.006667;  0.470667
      68.0;      31.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7;  -0.04715;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
      68.0;      32.0;      1.34;       0.0;       1.4;   -0.0829;     6.445;     2.776;     1.463;      1.65; -0.089672;    13.009;     0.057;    0.1365;     0.166;     0.156;    0.5215
      68.0;      33.0;      1.34;       0.0;       1.4; -0.007983;     6.445;  2.456667;     1.147;  1.366667; -0.066536; 11.007167;     0.083;  0.145167;    0.1605;      0.15;     0.495
      68.0;      34.0;       0.0;       0.4;      0.45; -0.873033;     26.02;  4.182667;     1.596;  2.166667; -0.330815; 18.010667;     0.223;  0.416667;     0.275;     0.326;     1.157
      68.0;      35.0;       0.0;       0.0;       0.0;  -0.08435;    13.015;     1.641;     0.652;     1.575; -0.216471;    15.003;   -0.0395;    0.1115;     0.184;      0.18;    0.3155
      68.0;      36.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7;  -0.05472;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
      69.0;       1.0;       0.0;       0.4;      0.45;   -0.5583;     6.015;    3.8395;     1.543;       2.5; -0.173971;   19.0145;    -0.035;    0.0575;    0.2775;    0.2715;     0.605
      69.0;       2.0;       0.0;       0.4;      0.45;   -0.3806;     6.015;    2.3305;    1.0125;      1.65; -0.147748;    13.009;     0.069;    0.1325;    0.2705;    0.2715;    0.5335
      69.0;       3.0;      1.45;      0.68;       0.0;  0.019533;       0.0;  2.413667;    1.1625;  1.416667; -0.001277; 10.009167;      0.06;  0.033667;       0.0;       0.0;    0.4575
      69.0;       4.0;       1.4;       0.0;       0.0;  0.124383;       0.0;  2.844667;      1.58;  1.416667; -0.039915; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      69.0;       5.0;       1.4;       0.0;       0.0;  0.124383;       0.0;  2.844667;      1.58;  1.416667; -0.039915; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      69.0;       6.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7;  -0.05482;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
      69.0;       7.0;       1.4;       0.0;       0.0;  0.169483;       0.0;  2.976333;      1.58;  1.416667; -0.026866; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      69.0;       8.0;      1.46;       0.0;       0.0;  0.180867;       0.0;  2.602667;     1.264;  1.133333;  0.016009;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
      69.0;       9.0;       1.4;       0.0;       0.0;  0.169483;       0.0;  2.976333;      1.58;  1.416667; -0.026866; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      69.0;      10.0;      1.34;       0.0;       1.4; -0.071517;     7.895;  2.402333;     1.177;  1.366667; -0.160501; 11.007167;     0.045;  0.144167;     0.158;    0.1335;     0.833
      69.0;      11.0;       1.4;       0.0;       0.0;  0.135767;       0.0;     2.471;     1.264;  1.133333;  0.012607;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
      69.0;      12.0;      1.34;       0.0;       1.4;  -0.06345;     7.895;  2.549667;     1.177;  1.366667; -0.160473; 11.007167;     0.085;  0.150833;  0.164333;    0.1395;     0.873
      69.0;      13.0;       1.4;       0.0;       0.0;   0.17755;       0.0;  3.123667;      1.58;  1.416667;  0.015603; 10.009167;     0.134;  0.065333;  0.011833;     0.012;    0.4825
      69.0;      14.0;       1.4;       0.0;       0.0;     0.197;       0.0;  2.897333;     1.264;  1.133333;  0.022044;  8.007333;       0.2;  0.080667;  0.012667;     0.012;     0.496
      69.0;      15.0;       1.4;       0.0;       0.0;   0.07905;       0.0;  2.760667;      1.58;  1.416667;  0.040854; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      69.0;      16.0;      1.32;      1.51;      1.39;    0.4202;       0.0;  2.193667;     0.928;  2.066667; -0.165029; 23.001667;     -0.17;  0.033667;       0.0;       0.0;     0.061
      69.0;      17.0;       1.4;       0.0;       0.0;   0.07905;       0.0;  2.760667;      1.58;  1.416667;  0.035495; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      69.0;      18.0;       1.4;       0.0;       0.0;  0.124383;       0.0;  2.844667;      1.58;  1.416667;  0.010916; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      69.0;      19.0;       1.4;       0.0;       0.0;  0.143833;       0.0;  2.618333;     1.264;  1.133333;  0.022716;  8.007333;      0.16;     0.074;  0.006333;     0.006;     0.456
      69.0;      20.0;      1.46;       0.0;       0.0; -0.047433;       0.0;  2.838667;  1.082667;  1.133333;  0.101159;  8.007333;      0.06;     0.092; -0.095667; -0.097333;     0.409
      69.0;      21.0;       1.4;       0.0;       0.0;  0.143833;       0.0;  2.618333;     1.264;  1.133333;  0.001436;  8.007333;      0.16;     0.074;  0.006333;     0.006;     0.456
      69.0;      22.0;      1.45;      0.68;       0.0;  0.019533;       0.0;  2.413667;    1.1625;  1.416667; -0.007757; 10.009167;      0.06;  0.033667;       0.0;       0.0;    0.4575
      69.0;      23.0;      1.38;       0.0;       0.0;  -0.12755;       0.0;    2.6205;     1.061;       1.7;  0.007145;    12.011;       0.0;       0.0;       0.0;       0.0;     0.499
      69.0;      24.0;       0.0;       0.4;      0.45;  -0.45655;     6.015;     2.463;    1.0125;      1.65; -0.164926;    13.009;     0.069;    0.1325;    0.2705;    0.2715;    0.5335
      69.0;      25.0;       1.4;       0.4;      0.45; -0.447567;     6.015;    2.7555;  0.932667;  1.366667; -0.091976; 11.007167;     0.069;  0.190833;  0.174833;  0.174167;     0.485
      69.0;      26.0;      1.22;       2.4;       2.4;  0.020133;     17.07;    1.8905;  1.019667;  2.116667; -0.185426; 20.002667;    -0.041;  0.428333;  0.238333;  0.241667;     0.696
      69.0;      27.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7;  -0.05482;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
      70.0;       1.0;       0.0;       0.4;      0.45;   -0.4629;     6.015;     4.253;     1.543;       2.5; -0.172378;   19.0145;    -0.008;    0.0805;    0.2145;     0.213;     0.777
      70.0;       2.0;       1.4;       0.4;      0.45; -0.105433;     6.015;  2.855667;     1.114;  1.366667; -0.103988; 11.007167;     0.156;  0.189167;    0.2075;     0.213;     0.664
      70.0;       3.0;      1.34;       0.0;       1.4; -0.007983;     6.445;  2.456667;     1.147;  1.366667; -0.035821; 11.007167;     0.083;  0.145167;    0.1605;      0.15;     0.495
      70.0;       4.0;      1.34;       0.0;       1.4; -0.007983;     6.445;  2.456667;     1.147;  1.366667; -0.022707; 11.007167;     0.083;  0.145167;    0.1605;      0.15;     0.495
      70.0;       5.0;      1.34;       0.0;       1.4;   -0.0829;     6.445;     2.776;     1.463;      1.65; -0.089535;    13.009;     0.057;    0.1365;     0.166;     0.156;    0.5215
      70.0;       6.0;       1.4;       0.0;       0.0;  0.124383;       0.0;  2.844667;      1.58;  1.416667;  0.033215; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      70.0;       7.0;      1.45;       0.0;       0.0;  0.177333;       0.0;  3.322167;     1.308;  1.416667; -0.005804; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      70.0;       8.0;       1.4;       0.0;       0.0;    0.1993;       0.0;  2.525333;     1.264;  1.133333;  0.061665;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
      70.0;       9.0;      1.31;       0.0;       0.0;      0.22;       0.0;    3.5875;  1.126667;  1.416667; -0.001617; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      70.0;      10.0;      1.46;       0.0;       0.0;  0.133333;       0.0;  2.604667;  1.082667;  1.133333;  0.018449;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
      70.0;      11.0;      1.46;       0.0;       0.0; -0.004767;       0.0;     3.104;  0.901333;  1.133333;  0.103091;  8.007333;  0.133667;  0.008333; -0.031667; -0.012667;     0.208
      70.0;      12.0;       1.4;       0.0;       0.0;  0.124383;       0.0;  2.844667;      1.58;  1.416667; -0.024039; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      70.0;      13.0;       1.4;       0.0;       0.0;     0.127;       0.0;  2.357667;     1.264;  1.133333;  0.018386;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
      70.0;      14.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7; -0.052049;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
      70.0;      15.0;       1.4;       0.0;       0.0;  0.169483;       0.0;  2.976333;      1.58;  1.416667; -0.025502; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      70.0;      16.0;      1.46;       0.0;       0.0;  0.180867;       0.0;  2.602667;     1.264;  1.133333;   0.02405;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
      70.0;      17.0;       1.4;       0.0;       0.0;  0.169483;       0.0;  2.976333;      1.58;  1.416667; -0.016179; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      70.0;      18.0;       1.4;       0.0;       0.0;  0.169483;       0.0;  2.976333;      1.58;  1.416667;  0.005637; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      70.0;      19.0;      1.34;       0.0;       1.4; -0.071517;     6.445;  2.402333;     1.147;  1.366667; -0.103065; 11.007167;     0.083;  0.145167;    0.1605;      0.15;     0.495
      70.0;      20.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7;  -0.04702;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
      70.0;      21.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7; -0.049561;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
      70.0;      22.0;       1.4;       0.0;       0.0;  0.124383;       0.0;  2.844667;      1.58;  1.416667; -0.007753; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      70.0;      23.0;       0.0;      0.68;       0.0;  0.129853;       0.0;  3.633667;     1.693;  2.266667; -0.009546; 16.014667;    -0.044; -0.041333;     0.007;       0.0;     0.529
      70.0;      24.0;      1.34;       0.0;       1.4; -0.116617;     6.445;  2.270667;     1.147;  1.366667; -0.113914; 11.007167;     0.083;  0.145167;    0.1605;      0.15;     0.495
      70.0;      25.0;       1.4;       0.0;       0.0;  0.160717;       0.0;     2.863;      1.58;  1.416667; -0.000301; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      70.0;      26.0;      1.71;      1.56;      1.47;  0.771167;       0.0;     7.041;     2.947;  2.366667; -0.067215; 39.456667;     0.083;  0.115667;       0.0;       0.0;     0.877
      70.0;      27.0;      1.22;       2.4;       2.4; -0.245367;     17.07;     1.669;  1.019667;  2.116667; -0.182013; 20.002667;  0.032667;  0.344667;  0.302333;  0.326333;     0.495
      70.0;      28.0;       1.4;       0.4;      0.45; -0.241367;      1.08;  2.608667;     0.772;       1.1; -0.009014;  8.672667;     0.189;     0.073;  0.075333;       0.1;  0.289667
      70.0;      29.0;      1.33;       0.4;      0.45;  -0.25035;      1.08;  2.316167;  0.851833;  1.383333; -0.056211;   10.6745;  0.115333;  0.098333;     0.107;  0.112667;  0.539167
      70.0;      30.0;      1.48;       0.4;      0.45;  0.005367;      1.08;  2.295333;  0.953333;       1.1; -0.046254;  8.672667;  0.175333;     0.132;     0.107;  0.112667;  0.497667
      70.0;      31.0;      1.45;       0.0;       0.0; -0.170117;       0.0;  2.286833;  0.884167;  1.416667;  0.097783; 10.009167;  0.029667;     0.012;  0.003667;  0.006667;  0.399167
      70.0;      32.0;      1.36;      0.86;       0.7; -0.102567;     4.615;  1.452833;  0.672167;  1.341667;  -0.11615; 12.003167;  0.036667;    0.1045;  0.109167;  0.119667;  0.329667
      70.0;      33.0;      1.36;      0.86;       0.7; -0.102567;     4.615;  1.452833;  0.672167;  1.341667;  -0.11615; 12.003167;  0.036667;    0.1045;  0.109167;  0.119667;  0.329667
      70.0;      34.0;      1.33;      0.86;       0.7;  -0.13595;     4.615;     1.919;     0.849;     1.625; -0.140908;    14.005;     0.007;    0.0925;    0.1055;     0.113;    0.4295
      70.0;      35.0;      1.45;       0.0;       0.0; -0.170117;       0.0;  2.286833;  0.884167;  1.416667;   0.05084; 10.009167;  0.029667;     0.012;  0.003667;  0.006667;  0.399167
      70.0;      36.0;       0.0;       0.4;      0.45; -1.087367;     26.02;  3.172333;  1.317667;  2.166667; -0.306582; 18.010667;  0.114667;     0.187;  0.484667;  0.492667;  0.930667
      70.0;      37.0;      1.45;       0.0;       0.0; -0.170117;       0.0;  2.286833;  0.884167;  1.416667;   0.05084; 10.009167;  0.029667;     0.012;  0.003667;  0.006667;  0.399167
      70.0;      38.0;      1.33;      0.86;       0.7;  -0.13595;     4.615;     1.919;     0.849;     1.625; -0.140908;    14.005;     0.007;    0.0925;    0.1055;     0.113;    0.4295
      70.0;      39.0;      1.34;       0.0;       1.4; -0.007983;     6.445;  2.456667;     1.147;  1.366667; -0.047971; 11.007167;     0.083;  0.145167;    0.1605;      0.15;     0.495
      71.0;       1.0;       0.0;       0.4;      0.45; -0.309733;      1.08;     3.366;  1.382333;  2.233333; -0.055518;     16.68; -0.030667;  0.032667;  0.224667;  0.218333;  0.454333
      71.0;       2.0;       0.0;       0.0;       0.0;  0.217867;     13.73;    4.4085;  1.821333;  1.433333; -0.079033;   20.7025;  0.238333;  0.202167;  0.301667;  0.305833;  0.762333
      71.0;       3.0;       1.4;       0.4;      0.45;    -0.199;      1.08;     2.282;     0.772;       1.1;  0.031032;  8.672667;  0.036667; -0.076667;  0.192333;  0.200333;  0.133333
      71.0;       4.0;       0.0;      2.95;       0.8;  0.231333;     12.65;    5.4645;  1.950667;  1.466667;  0.112532; 20.037167;     0.165;   -0.0755;  0.034667;  0.037833;     0.629
      71.0;       5.0;      1.22;       2.4;       2.4;  0.390533;     17.07;     2.058;  1.019667;  2.116667; -0.145896; 20.002667;    -0.041;       0.2;  0.284667;  0.289333;     0.495
      71.0;       6.0;       1.4;       0.4;      0.45;    -0.199;      1.08;     2.282;     0.772;       1.1;  0.027354;  8.672667;  0.073333; -0.062333;  0.168333;  0.168667;  0.133333
      71.0;       7.0;      1.33;       0.4;      0.45; -0.132033;      1.08;     1.857;  0.851833;  1.383333; -0.053361;   10.6745;  0.073333;  0.107667;  0.217667;  0.218333;  0.382833
      71.0;       8.0;       1.4;       0.4;      0.45;    -0.199;      1.08;     2.282;     0.772;       1.1;  0.031882;  8.672667;  0.036667; -0.076667;  0.192333;  0.200333;  0.133333
      71.0;       9.0;      1.45;      0.68;       0.0;  0.019533;       0.0;  2.413667;    1.1625;  1.416667;  0.019014; 10.009167;      0.06;  0.033667;       0.0;       0.0;    0.4575
      71.0;      10.0;       1.4;       0.0;       0.0;  0.124383;       0.0;  2.844667;      1.58;  1.416667; -0.037923; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      71.0;      11.0;       1.4;       0.0;       0.0;  0.124383;       0.0;  2.844667;      1.58;  1.416667; -0.037923; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      71.0;      12.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7;  -0.05958;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
      71.0;      13.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7; -0.062087;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
      71.0;      14.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7; -0.062087;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
      71.0;      15.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7;  -0.05958;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
      71.0;      16.0;      1.22;       2.4;       2.4;  0.390533;     17.07;     2.058;  1.019667;  2.116667; -0.133033; 20.002667; -0.077667;  0.185667;  0.308667;     0.321;     0.495
      72.0;       1.0;       0.0;       0.4;      0.45; -0.309733;      1.08;     3.366;  1.382333;  2.233333; -0.114192;     16.68; -0.030667;  0.032667;  0.224667;  0.218333;  0.454333
      72.0;       2.0;      1.33;       0.4;      0.45; -0.207983;      1.08;    1.9895;  0.851833;  1.383333; -0.093175;   10.6745;  0.073333;  0.107667;  0.217667;  0.218333;  0.382833
      72.0;       3.0;      1.33;       0.4;      0.45; -0.207983;      1.08;    1.9895;  0.851833;  1.383333; -0.093175;   10.6745;  0.073333;  0.107667;  0.217667;  0.218333;  0.382833
      72.0;       4.0;      1.38;       0.0;       0.0;   -0.2035;       0.0;     2.753;     1.061;       1.7;  0.023185;    12.011;       0.0;       0.0;       0.0;       0.0;     0.499
      72.0;       5.0;      1.33;       0.4;      0.45; -0.207983;      1.08;    1.9895;  0.851833;  1.383333; -0.105628;   10.6745;  0.073333;  0.107667;  0.217667;  0.218333;  0.382833
      72.0;       6.0;       1.4;       0.4;      0.45; -0.054533;      1.08;     1.784;     0.772;       1.1; -0.078298;  8.672667;  0.133333;  0.141333;  0.217667;  0.218333;  0.341333
      72.0;       7.0;      1.33;       0.4;      0.45; -0.207983;      1.08;    1.9895;  0.851833;  1.383333; -0.105628;   10.6745;  0.073333;  0.107667;  0.217667;  0.218333;  0.382833
      72.0;       8.0;      1.34;       0.0;       0.0;    0.1034;       0.0;     2.342;  0.901333;  1.133333;   0.08785;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
      72.0;       9.0;      1.46;       0.0;       0.0; -0.041067;       0.0;      2.84;  0.901333;  1.133333;   0.13704;  8.007333;      0.06; -0.103333;    -0.017; -0.016667;     0.208
      72.0;      10.0;      1.73;      1.56;      1.47;    0.7412;       0.0;     7.024;  2.765667;  2.366667; -0.030632; 39.456667;     0.083;  0.115667;       0.0;       0.0;     0.877
      72.0;      11.0;      1.46;       0.0;       0.0; -0.041067;       0.0;      2.84;  0.901333;  1.133333;  0.138021;  8.007333;      0.06; -0.103333;    -0.017; -0.016667;     0.208
      72.0;      12.0;      1.22;       2.4;       2.4; -0.245367;     17.07;     1.669;  1.019667;  2.116667;  -0.17416; 20.002667;    -0.041;     0.233;     0.317;  0.322333;     0.495
      72.0;      13.0;       1.4;       0.4;      0.45; -0.241367;      1.08;  2.608667;     0.772;       1.1;   0.01288;  8.672667;  0.115333; -0.038667;      0.09;     0.096;  0.289667
      72.0;      14.0;      1.48;       0.4;      0.45;  0.005367;      1.08;  2.295333;  0.953333;       1.1; -0.062012;  8.672667;  0.175333;     0.132;     0.107;  0.112667;  0.497667
      72.0;      15.0;       1.4;       0.4;      0.45; -0.241367;      1.08;  2.608667;     0.772;       1.1;  0.014272;  8.672667;  0.115333; -0.038667;      0.09;     0.096;  0.289667
      72.0;      16.0;       1.4;       0.0;       0.0;  0.233017;       0.0;  3.030667;      1.58;  1.416667;  -8.9e-05; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      72.0;      17.0;       1.4;       0.0;       0.0;  0.233017;       0.0;  3.030667;      1.58;  1.416667;  0.009236; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      72.0;      18.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7; -0.038064;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
      72.0;      19.0;       1.4;       0.0;       0.0;  0.160717;       0.0;     2.863;      1.58;  1.416667; -0.000179; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      72.0;      20.0;      1.71;      1.56;      1.47;  0.771167;       0.0;     7.041;     2.947;  2.366667; -0.062932; 39.456667;     0.083;  0.115667;       0.0;       0.0;     0.877
      72.0;      21.0;       1.4;       0.0;       0.0;  0.163333;       0.0;     2.376;     1.264;  1.133333;  0.040202;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
      72.0;      22.0;      1.71;      1.56;      1.47;  0.771167;       0.0;     7.041;     2.947;  2.366667; -0.062208; 39.456667;     0.083;  0.115667;       0.0;       0.0;     0.877
      72.0;      23.0;       1.4;       0.0;       0.0;  0.160717;       0.0;     2.863;      1.58;  1.416667;  0.011642; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
      72.0;      24.0;      1.22;       2.4;       2.4; -0.245367;     17.07;     1.669;  1.019667;  2.116667; -0.172116; 20.002667;    -0.041;     0.233;     0.317;  0.322333;     0.495
      72.0;      25.0;      1.38;       0.0;       0.0;   -0.2035;       0.0;     2.753;     1.061;       1.7;  0.023185;    12.011;       0.0;       0.0;       0.0;       0.0;     0.499
      73.0;       1.0;       0.0;       0.4;      0.45; -0.309733;      1.08;     3.366;  1.382333;  2.233333;  -0.11419;     16.68; -0.030667;  0.032667;  0.224667;  0.218333;  0.454333
      73.0;       2.0;      1.33;       0.4;      0.45; -0.207983;      1.08;    1.9895;  0.851833;  1.383333; -0.093119;   10.6745;  0.073333;  0.107667;  0.217667;  0.218333;  0.382833
      73.0;       3.0;      1.33;       0.4;      0.45; -0.207983;      1.08;    1.9895;  0.851833;  1.383333; -0.093119;   10.6745;  0.073333;  0.107667;  0.217667;  0.218333;  0.382833
      73.0;       4.0;      1.38;       0.0;       0.0;   -0.2035;       0.0;     2.753;     1.061;       1.7;  0.024651;    12.011;       0.0;       0.0;       0.0;       0.0;     0.499
      73.0;       5.0;      1.33;       0.4;      0.45; -0.207983;      1.08;    1.9895;  0.851833;  1.383333; -0.094976;   10.6745;  0.073333;  0.107667;  0.217667;  0.218333;  0.382833
      73.0;       6.0;       1.4;       0.4;      0.45;    -0.199;      1.08;     2.282;     0.772;       1.1; -0.023952;  8.672667;  0.073333;     0.166;     0.122;     0.121;  0.334333
      73.0;       7.0;      1.33;       0.4;      0.45; -0.207983;      1.08;    1.9895;  0.851833;  1.383333; -0.094976;   10.6745;  0.073333;  0.107667;  0.217667;  0.218333;  0.382833
      73.0;       8.0;      1.22;       2.4;       2.4;  0.020133;     17.07;    1.8905;  1.019667;  2.116667; -0.180303; 20.002667;    -0.041;  0.428333;  0.238333;  0.241667;     0.696
